panel_rule,vertical,entity,mentions,panel_observations,coverage,prominence,breadth,gci,geometric,arithmetic,harmonic,weighted,rank_gci,rank_coverage,abs_rank_shift
series,saude,Aché Laboratórios,93,17146,0.005424005598973522,0.2293548387096774,0.5,0.08536228138035595,0.08536228138035595,0.24492628143621697,0.01572939998820111,0.13559311303680346,35,33,2
series,tecnologia,Oracle,121,17049,0.007097190451052848,0.18727272727272729,0.3333333333333333,0.0762336264975928,0.0762336264975928,0.17590108368570448,0.020101764206827362,0.10107649608881353,36,28,8
series,tecnologia,SAP,80,17049,0.004692357323010148,0.2761875,0.3333333333333333,0.07559468821156719,0.07559468821156719,0.20473773021878117,0.013652919124412459,0.12186228939380608,37,36,1
series,tecnologia,Locaweb,81,17049,0.004751011789547774,0.25320987654320987,0.3333333333333333,0.07374204292075118,0.07374204292075118,0.19709807388869702,0.013797494888986187,0.11615307620953114,38,35,3
series,tecnologia,CI&T,72,17049,0.0042231215907091325,0.28604166666666664,0.16666666666666666,0.058609841248703165,0.058609841248703165,0.1523104849746808,0.01218087820464876,0.09904428962109213,39,37,2
series,fintech,Agibank,53,17225,0.003076923076923077,0.3261320754716981,0.16666666666666666,0.055095944729242896,0.055095944729242896,0.16529188840509593,0.008980254869175412,0.10837917271407836,40,39,1
series,varejo,AliExpress,34,17204,0.001976284584980237,0.20838235294117646,0.3333333333333333,0.0515857467818533,0.0515857467818533,0.18123065695316334,0.005838860632399014,0.10328135898628225,41,42,1
series,varejo,Shein,27,17204,0.0015694024645431296,0.23555555555555555,0.3333333333333333,0.04976249447217279,0.04976249447217279,0.19015276378447732,0.0046552733739617,0.10983053036761475,42,44,2
series,fintech,BTG Pactual,36,17225,0.0020899854862119014,0.34652777777777777,0.16666666666666666,0.049420828809881336,0.049420828809881336,0.17176147664355212,0.0061556392598018555,0.11288593573617157,43,41,2
series,tecnologia,IBM Brasil,30,17049,0.0017596339961288051,0.38849999999999996,0.16666666666666666,0.048479043094359825,0.048479043094359825,0.18564210022093183,0.005200442361094533,0.12318078039767727,44,43,1
series,fintech,Will Bank,15,17225,0.0008708272859216256,0.30866666666666664,0.3333333333333333,0.04474729996091036,0.04474729996091036,0.21429027576197388,0.0025983630375219337,0.12768916303821964,45,48,3
series,saude,Unimed,14,17146,0.0008165169718884871,0.3125,0.3333333333333333,0.043977580044640675,0.043977580044640675,0.2155499501017406,0.002437212757067917,0.1286149101831331,46,49,3
series,varejo,eBay,16,17204,0.0009300162752848175,0.413125,0.16666666666666666,0.040007393554377435,0.040007393554377435,0.19357389431398384,0.002768368976258409,0.1288392597651709,47,47,0
series,fintech,XP Investimentos,13,17225,0.0007547169811320754,0.23923076923076922,0.3333333333333333,0.03918861977801764,0.03918861977801764,0.19110627318174486,0.0022519478262548634,0.11026052249637155,48,50,2
series,saude,SulAmérica Saúde,12,17146,0.0006998716901901318,0.3958333333333333,0.16666666666666666,0.03587510492600035,0.03587510492600035,0.18773329056339672,0.0020871603024551597,0.1243782563474474,49,51,2
series,tecnologia,Vtex,24,17049,0.0014077071969030442,0.19645833333333332,0.16666666666666666,0.03585451442900181,0.03585451442900181,0.12151090239896767,0.0041582050782208125,0.07495920765147515,50,45,5
series,saude,Rede D'Or,4,17146,0.00023329056339671062,0.56375,0.3333333333333333,0.03526042078459728,0.03526042078459728,0.29910554129891004,0.0006990931165679643,0.191077474338038,51,57,6
series,saude,NotreDame Intermédica,10,17146,0.0005832264084917765,0.4455,0.16666666666666666,0.035116499098013884,0.035116499098013884,0.20424996435838616,0.0017413061398597808,0.13672493584509507,52,53,1
