series,cum_share_entities,cum_share_mentions
mentions_real_cohort,0.5765765765765766,0.006244424620874219
mentions_real_cohort,0.5855855855855856,0.007084011124521173
mentions_real_cohort,0.5945945945945946,0.008343390879991605
mentions_real_cohort,0.6036036036036037,0.009602770635462035
mentions_real_cohort,0.6126126126126126,0.01101957286036627
mentions_real_cohort,0.6216216216216216,0.012593797554704309
mentions_real_cohort,0.6306306306306306,0.014377918874954085
mentions_real_cohort,0.6396396396396397,0.016266988508159733
mentions_real_cohort,0.6486486486486487,0.018943170488534396
mentions_real_cohort,0.6576576576576577,0.021724300781864932
mentions_real_cohort,0.6666666666666666,0.02524006926588655
mentions_real_cohort,0.6756756756756757,0.029018208532297845
mentions_real_cohort,0.6846846846846847,0.03321614105053261
mentions_real_cohort,0.6936936936936937,0.03746654772524532
mentions_real_cohort,0.7027027027027027,0.04187437686939183
mentions_real_cohort,0.7117117117117117,0.04675447342183974
mentions_real_cohort,0.7207207207207207,0.05163456997428766
mentions_real_cohort,0.7297297297297297,0.056619614839691454
mentions_real_cohort,0.7387387387387387,0.06207692711339665
mentions_real_cohort,0.7477477477477478,0.06842630004722675
mentions_real_cohort,0.7567567567567568,0.07482814713753476
mentions_real_cohort,0.7657657657657657,0.08122999422784279
mentions_real_cohort,0.7747747747747747,0.08841895366531984
mentions_real_cohort,0.7837837837837838,0.09571286141575275
mentions_real_cohort,0.7927927927927928,0.10479089048643543
mentions_real_cohort,0.8018018018018018,0.11455108359133127
mentions_real_cohort,0.8108108108108109,0.12436375085270504
mentions_real_cohort,0.8198198198198198,0.13669517762501968
mentions_real_cohort,0.8288288288288288,0.14949887180563573
mentions_real_cohort,0.8378378378378378,0.16240751429920763
mentions_real_cohort,0.8468468468468469,0.17557852757516923
mentions_real_cohort,0.8558558558558559,0.18927428241591016
mentions_real_cohort,0.8648648648648649,0.2032848821955187
mentions_real_cohort,0.8738738738738738,0.2191845516083329
mentions_real_cohort,0.8828828828828829,0.2360287558377499
mentions_real_cohort,0.8918918918918919,0.2531353308495566
mentions_real_cohort,0.9009009009009009,0.271238914834444
mentions_real_cohort,0.9099099099099099,0.29033950779241224
mentions_real_cohort,0.918918918918919,0.31222123104371097
mentions_real_cohort,0.9279279279279279,0.3369890329012961
mentions_real_cohort,0.9369369369369369,0.3657973448076822
mentions_real_cohort,0.9459459459459459,0.3992758566406045
mentions_real_cohort,0.954954954954955,0.4395760088156583
mentions_real_cohort,0.963963963963964,0.4804009025554914
mentions_real_cohort,0.972972972972973,0.5274702209161988
mentions_real_cohort,0.9819819819819819,0.633992758566406
mentions_real_cohort,0.990990990990991,0.758356509419111
mentions_real_cohort,1.0,1.0
mentions_full_cohort,0.0,0.0
mentions_full_cohort,0.007874015748031496,0.0
mentions_full_cohort,0.015748031496062992,0.0
mentions_full_cohort,0.023622047244094488,0.0
mentions_full_cohort,0.031496062992125984,0.0
mentions_full_cohort,0.03937007874015748,0.0
mentions_full_cohort,0.047244094488188976,0.0
mentions_full_cohort,0.05511811023622047,0.0
mentions_full_cohort,0.06299212598425197,0.0
mentions_full_cohort,0.07086614173228346,0.0
mentions_full_cohort,0.07874015748031496,0.0
mentions_full_cohort,0.08661417322834646,0.0
mentions_full_cohort,0.09448818897637795,0.0
mentions_full_cohort,0.10236220472440945,0.0
mentions_full_cohort,0.11023622047244094,0.0
mentions_full_cohort,0.11811023622047244,0.0
