engine,n,n_queries,window_chars,cited,rate_pct,ci_lo_pct,ci_hi_pct,rate_full_pct,gap_to_full_pp,saturation_window,window_95pct_of_full,median_len_full,dates
Gemini,768,192,full,256,33.33333333333333,30.08958957971967,36.74297725451783,33.33333333333333,0.0,full,full,452.0,"2026-09-06,2026-09-07,2026-09-08"
Grok,768,192,50,136,17.708333333333336,15.171168193079652,20.566930048255514,84.11458333333334,66.40625,full,full,1991.0,"2026-09-06,2026-09-07,2026-09-08"
Grok,768,192,100,164,21.354166666666664,18.60212326852012,24.39135097782558,84.11458333333334,62.76041666666668,full,full,1991.0,"2026-09-06,2026-09-07,2026-09-08"
Grok,768,192,150,188,24.479166666666664,21.57022314288743,27.642144822038745,84.11458333333334,59.63541666666668,full,full,1991.0,"2026-09-06,2026-09-07,2026-09-08"
Grok,768,192,200,218,28.385416666666668,25.31040287161771,31.675582241534062,84.11458333333334,55.72916666666667,full,full,1991.0,"2026-09-06,2026-09-07,2026-09-08"
Grok,768,192,300,304,39.58333333333333,36.18479154280118,43.08556272859727,84.11458333333334,44.531250000000014,full,full,1991.0,"2026-09-06,2026-09-07,2026-09-08"
Grok,768,192,400,385,50.130208333333336,46.60217760078227,53.65694297082526,84.11458333333334,33.98437500000001,full,full,1991.0,"2026-09-06,2026-09-07,2026-09-08"
Grok,768,192,600,471,61.328125,57.83561185384899,64.70787787600521,84.11458333333334,22.786458333333343,full,full,1991.0,"2026-09-06,2026-09-07,2026-09-08"
Grok,768,192,800,519,67.578125,64.18725860597286,70.79401856104228,84.11458333333334,16.536458333333343,full,full,1991.0,"2026-09-06,2026-09-07,2026-09-08"
Grok,768,192,1200,579,75.390625,72.2228930342426,78.30561842922371,84.11458333333334,8.723958333333343,full,full,1991.0,"2026-09-06,2026-09-07,2026-09-08"
Grok,768,192,1600,607,79.03645833333334,76.01666898180406,81.76721848667282,84.11458333333334,5.078125,full,full,1991.0,"2026-09-06,2026-09-07,2026-09-08"
Grok,768,192,full,646,84.11458333333334,81.36040358548664,86.52918617568348,84.11458333333334,0.0,full,full,1991.0,"2026-09-06,2026-09-07,2026-09-08"
Perplexity,305,96,50,43,14.098360655737704,10.638116809932274,18.45171431693528,77.04918032786885,62.950819672131146,800,600,528.0,"2026-09-06,2026-09-07,2026-09-08"
Perplexity,305,96,100,90,29.508196721311474,24.670175503501138,34.85598381548719,77.04918032786885,47.540983606557376,800,600,528.0,"2026-09-06,2026-09-07,2026-09-08"
Perplexity,305,96,150,133,43.606557377049185,38.154931456386024,49.21723025113834,77.04918032786885,33.44262295081967,800,600,528.0,"2026-09-06,2026-09-07,2026-09-08"
Perplexity,305,96,200,165,54.09836065573771,48.48956105637779,59.60520707982454,77.04918032786885,22.950819672131146,800,600,528.0,"2026-09-06,2026-09-07,2026-09-08"
Perplexity,305,96,300,197,64.59016393442623,59.07193938407015,69.74543518081015,77.04918032786885,12.459016393442624,800,600,528.0,"2026-09-06,2026-09-07,2026-09-08"
Perplexity,305,96,400,220,72.1311475409836,66.84794286448995,76.86380507100267,77.04918032786885,4.918032786885249,800,600,528.0,"2026-09-06,2026-09-07,2026-09-08"
Perplexity,305,96,600,230,75.40983606557377,70.28080840232424,79.90675404213022,77.04918032786885,1.639344262295083,800,600,528.0,"2026-09-06,2026-09-07,2026-09-08"
Perplexity,305,96,800,234,76.72131147540983,71.6640213739841,81.11386687405512,77.04918032786885,0.3278688524590194,800,600,528.0,"2026-09-06,2026-09-07,2026-09-08"
Perplexity,305,96,1200,235,77.04918032786885,72.01078423270704,81.41468546622836,77.04918032786885,0.0,800,600,528.0,"2026-09-06,2026-09-07,2026-09-08"
Perplexity,305,96,1600,235,77.04918032786885,72.01078423270704,81.41468546622836,77.04918032786885,0.0,800,600,528.0,"2026-09-06,2026-09-07,2026-09-08"
Perplexity,305,96,full,235,77.04918032786885,72.01078423270704,81.41468546622836,77.04918032786885,0.0,800,600,528.0,"2026-09-06,2026-09-07,2026-09-08"
